Entity,Code,Year,cmr
Afghanistan,AFG,1957,37.61
Afghanistan,AFG,1958,37.05
Afghanistan,AFG,1959,36.49
Afghanistan,AFG,1960,35.95
Afghanistan,AFG,1961,35.39
Afghanistan,AFG,1962,34.86
Afghanistan,AFG,1963,34.39
Afghanistan,AFG,1964,33.87
Afghanistan,AFG,1965,33.35
Afghanistan,AFG,1966,32.86
Afghanistan,AFG,1967,32.37
Afghanistan,AFG,1968,31.87
Afghanistan,AFG,1969,31.37
Afghanistan,AFG,1970,30.9
Afghanistan,AFG,1971,30.41
Afghanistan,AFG,1972,29.9
Afghanistan,AFG,1973,29.4
Afghanistan,AFG,1974,28.88
Afghanistan,AFG,1975,28.36
Afghanistan,AFG,1976,27.8
Afghanistan,AFG,1977,27.27
Afghanistan,AFG,1978,26.7
Afghanistan,AFG,1979,26.09
Afghanistan,AFG,1980,25.5
Afghanistan,AFG,1981,24.87
Afghanistan,AFG,1982,24.21
Afghanistan,AFG,1983,23.51
Afghanistan,AFG,1984,22.75
Afghanistan,AFG,1985,21.96
Afghanistan,AFG,1986,21.13
Afghanistan,AFG,1987,20.33
Afghanistan,AFG,1988,19.5
Afghanistan,AFG,1989,18.69
Afghanistan,AFG,1990,17.91
Afghanistan,AFG,1991,17.15
Afghanistan,AFG,1992,16.46
Afghanistan,AFG,1993,15.84
Afghanistan,AFG,1994,15.33
Afghanistan,AFG,1995,14.91
Afghanistan,AFG,1996,14.57
Afghanistan,AFG,1997,14.3
Afghanistan,AFG,1998,14.06
Afghanistan,AFG,1999,13.82
Afghanistan,AFG,2000,13.56
Afghanistan,AFG,2001,13.27
Afghanistan,AFG,2002,12.94
Afghanistan,AFG,2003,12.59
Afghanistan,AFG,2004,12.24
Afghanistan,AFG,2005,11.9
Afghanistan,AFG,2006,11.58
Afghanistan,AFG,2007,11.29
Afghanistan,AFG,2008,11.02
Afghanistan,AFG,2009,10.77
Afghanistan,AFG,2010,10.52
Afghanistan,AFG,2011,10.26
Afghanistan,AFG,2012,10
Afghanistan,AFG,2013,9.73
Afghanistan,AFG,2014,9.39
Afghanistan,AFG,2015,9.11
Australia,AUS,1921,8.9003419
Australia,AUS,1922,7.0894627
Australia,AUS,1923,7.95230704
Australia,AUS,1924,7.62476995
Australia,AUS,1925,7.02232234
Australia,AUS,1926,7.09359818
Australia,AUS,1927,7.31127322
Australia,AUS,1928,7.21062684
Australia,AUS,1929,6.89907088
Australia,AUS,1930,6.45366862
Australia,AUS,1931,5.51402986
Australia,AUS,1932,5.44795036
Australia,AUS,1933,5.3938279
Australia,AUS,1934,5.87118936
Australia,AUS,1935,5.42272
Australia,AUS,1936,5.62028184
Australia,AUS,1937,5.11333501
Australia,AUS,1938,5.113621
Australia,AUS,1939,5.09865856
Australia,AUS,1940,5.04807184
Australia,AUS,1941,5.27507827
Australia,AUS,1942,5.17445074
Australia,AUS,1943,5.0390058
Australia,AUS,1944,4.14796141
Australia,AUS,1945,3.8011332
Australia,AUS,1946,3.85531444
Australia,AUS,1947,3.57372007
Australia,AUS,1948,3.38361328
Australia,AUS,1949,3.22
Australia,AUS,1950,3.16
Australia,AUS,1951,3.1
Australia,AUS,1952,3.03
Australia,AUS,1953,2.95
Australia,AUS,1954,2.87
Australia,AUS,1955,2.8
Australia,AUS,1956,2.73
Australia,AUS,1957,2.66
Australia,AUS,1958,2.6
Australia,AUS,1959,2.54
Australia,AUS,1960,2.49
Australia,AUS,1961,2.43
Australia,AUS,1962,2.37
Australia,AUS,1963,2.32
Australia,AUS,1964,2.27
Australia,AUS,1965,2.24
Australia,AUS,1966,2.21
Australia,AUS,1967,2.2
Australia,AUS,1968,2.19
Australia,AUS,1969,2.17
Australia,AUS,1970,2.14
Australia,AUS,1971,2.09
Australia,AUS,1972,2.02
Australia,AUS,1973,1.93
Australia,AUS,1974,1.84
Australia,AUS,1975,1.73
Australia,AUS,1976,1.62
Australia,AUS,1977,1.53
Australia,AUS,1978,1.44
Australia,AUS,1979,1.36
Australia,AUS,1980,1.3
Australia,AUS,1981,1.26
Australia,AUS,1982,1.22
Australia,AUS,1983,1.19
Australia,AUS,1984,1.16
Australia,AUS,1985,1.13
Australia,AUS,1986,1.1
Australia,AUS,1987,1.06
Australia,AUS,1988,1.02
Australia,AUS,1989,0.97
Australia,AUS,1990,0.92
Australia,AUS,1991,0.86
Australia,AUS,1992,0.81
Australia,AUS,1993,0.77
Australia,AUS,1994,0.73
Australia,AUS,1995,0.7
Australia,AUS,1996,0.68
Australia,AUS,1997,0.66
Australia,AUS,1998,0.65
Australia,AUS,1999,0.64
